team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ARI,WAS,@LAR,CHI,SEA,@SF,@MIN,DEN,SF,BYE,@KC,OAK,@LAC,@GB,DET,@ATL,LAR,@SEA
ATL,@PHI,CAR,NO,CIN,@PIT,TB,NYG,BYE,@WAS,@CLE,DAL,@NO,BAL,@GB,ARI,@CAR,@TB
BAL,BUF,@CIN,DEN,@PIT,@CLE,@TEN,NO,@CAR,PIT,BYE,CIN,OAK,@ATL,@KC,TB,@LAC,CLE
BUF,@BAL,LAC,@MIN,@GB,TEN,@HOU,@IND,NE,CHI,@NYJ,BYE,JAC,@MIA,NYJ,DET,@NE,MIA
CAR,DAL,@ATL,CIN,BYE,NYG,@WAS,@PHI,BAL,TB,@PIT,@DET,SEA,@TB,@CLE,NO,ATL,@NO
CHI,@GB,SEA,@ARI,TB,BYE,@MIA,NE,NYJ,@BUF,DET,MIN,@DET,@NYG,LAR,GB,@SF,@MIN
CIN,@IND,BAL,@CAR,@ATL,MIA,PIT,@KC,TB,BYE,NO,@BAL,CLE,DEN,@LAC,OAK,@CLE,@PIT
CLE,PIT,@NO,NYJ,@OAK,BAL,LAC,@TB,@PIT,KC,ATL,BYE,@CIN,@HOU,CAR,@DEN,CIN,@BAL
DAL,@CAR,NYG,@SEA,DET,@HOU,JAC,@WAS,BYE,TEN,@PHI,@ATL,WAS,NO,PHI,@IND,TB,@NYG
DEN,SEA,OAK,@BAL,KC,@NYJ,LAR,@ARI,@KC,HOU,BYE,@LAC,PIT,@CIN,@SF,CLE,@OAK,LAC
DET,NYJ,@SF,NE,@DAL,GB,BYE,@MIA,SEA,@MIN,@CHI,CAR,CHI,LAR,@ARI,@BUF,MIN,@GB
GB,CHI,MIN,@WAS,BUF,@DET,SF,BYE,@LAR,@NE,MIA,@SEA,@MIN,ARI,ATL,@CHI,@NYJ,DET
HOU,@NE,@TEN,NYG,@IND,DAL,BUF,@JAC,MIA,@DEN,BYE,@WAS,TEN,CLE,IND,@NYJ,@PHI,JAC
IND,CIN,@WAS,@PHI,HOU,@NE,@NYJ,BUF,@OAK,BYE,JAC,TEN,MIA,@JAC,@HOU,DAL,NYG,@TEN
JAC,@NYG,NE,TEN,NYJ,@KC,@DAL,HOU,PHI,BYE,@IND,PIT,@BUF,IND,@TEN,WAS,@MIA,@HOU
KC,@LAC,@PIT,SF,@DEN,JAC,@NE,CIN,DEN,@CLE,ARI,@LAR,BYE,@OAK,BAL,LAC,@SEA,OAK
LAC,KC,@BUF,@LAR,SF,OAK,@CLE,TEN,BYE,@SEA,@OAK,DEN,ARI,@PIT,CIN,@KC,BAL,@DEN
LAR,@OAK,ARI,LAC,MIN,@SEA,@DEN,@SF,GB,@NO,SEA,KC,BYE,@DET,@CHI,PHI,@ARI,SF
MIA,TEN,@NYJ,OAK,@NE,@CIN,CHI,DET,@HOU,NYJ,@GB,BYE,@IND,BUF,NE,@MIN,JAC,@BUF
MIN,SF,@GB,BUF,@LAR,@PHI,ARI,@NYJ,NO,DET,BYE,@CHI,GB,@NE,@SEA,MIA,@DET,CHI
NE,HOU,@JAC,@DET,MIA,IND,KC,@CHI,@BUF,GB,@TEN,BYE,@NYJ,MIN,@MIA,@PIT,BUF,NYJ
NO,TB,CLE,@ATL,@NYG,WAS,BYE,@BAL,@MIN,LAR,@CIN,PHI,ATL,@DAL,@TB,@CAR,PIT,CAR
NYG,JAC,@DAL,@HOU,NO,@CAR,PHI,@ATL,WAS,BYE,@SF,TB,@PHI,CHI,@WAS,TEN,@IND,DAL
NYJ,@DET,MIA,@CLE,@JAC,DEN,IND,MIN,@CHI,@MIA,BUF,BYE,NE,@TEN,@BUF,HOU,GB,@NE
OAK,LAR,@DEN,@MIA,CLE,@LAC,SEA,BYE,IND,@SF,LAC,@ARI,@BAL,KC,PIT,@CIN,DEN,@KC
PHI,ATL,@TB,IND,@TEN,MIN,@NYG,CAR,@JAC,BYE,DAL,@NO,NYG,WAS,@DAL,@LAR,HOU,@WAS
PIT,@CLE,KC,@TB,BAL,ATL,@CIN,BYE,CLE,@BAL,CAR,@JAC,@DEN,LAC,@OAK,NE,@NO,CIN
SEA,@DEN,@CHI,DAL,@ARI,LAR,@OAK,BYE,@DET,LAC,@LAR,GB,@CAR,SF,MIN,@SF,KC,ARI
SF,@MIN,DET,@KC,@LAC,ARI,@GB,LAR,@ARI,OAK,NYG,BYE,@TB,@SEA,DEN,SEA,CHI,@LAR
TB,@NO,PHI,PIT,@CHI,BYE,@ATL,CLE,@CIN,@CAR,WAS,@NYG,SF,CAR,NO,@BAL,@DAL,ATL
TEN,@MIA,HOU,@JAC,PHI,@BUF,BAL,@LAC,BYE,@DAL,NE,@IND,@HOU,NYJ,JAC,@NYG,WAS,IND
WAS,@ARI,IND,GB,BYE,@NO,CAR,DAL,@NYG,ATL,@TB,HOU,@DAL,@PHI,NYG,@JAC,@TEN,PHI
